"uuid","openboxes","name_es","concept","packaging"
"94dcba35-d96f-4140-832c-eb951caa13fc",,"SSA:  Lidocaína, clorhidrato de, epinefrina de 1 g / (1:200000) / 0.25 mg, solución inyectable al 2%, envase con 5 frascos ámpula con 50 ml. - 5 frascos ámpula con 50","CIEL:104584",
"569361a1-097b-4dc5-a3d3-5d0f807706a6",,"SSA:  Lidocaína, clorhidrato de, epinefrina de 36 mg / (1:100000) / 0.018 mg, solución inyectable al 2%, envase con 50 cartuchos dentales con 1.8 ml. - 50 cartuchos d","CIEL:104584",
"1c66049e-0ab0-4c43-9c09-5bc4ab0a955a",,"SSA:  Trimetoprima - sulfametoxazol de 80 mg/400 mg, comprimido o tableta, envase con 20 comprimidos o tabletas. - 20 tabletas o comprimidos","CIEL:105281",
"e198149f-4507-4f94-a33d-ecc85392d00a",,"SSA:  Trimetoprima - sulfametoxazol de 40 mg/200 mg/5 ml, suspensión oral, envase con 120 ml y dosificador. - envase con 120 ml","CIEL:105281",
"9b2b521b-f4d2-4d31-897b-b2a6fa4cc3ca",,"SSA:  Aceite lubricante para pieza de mano de baja velocidad - envase c/240 ml.","CIEL:162138",
"2168d42c-98bb-4400-b1a4-45d0ef775996",,"SSA:  Jalea lubricante. aséptica. - envase con 135 g","CIEL:162138",
"1f003a43-d738-4c7d-ab87-8239db9e50fe",,"SSA:  Levonorgestrel y etinilestradiol de 0.15 mg/0.03 mg, gragea, envase con 21 grageas. - 21 grageas","CIEL:162296",
"81a9ed8d-6ae8-408f-a96d-a4a295d20e15",,"SSA:  Levonorgestrel y etinilestradiol de 0.15 mg/0.03 mg, gragea, envase con 28 grageas (21 con hormonales y 7 sin hormonales). - 28 grageas (21 con hormonales y 7 s","CIEL:162296",
"cf154c4a-632a-4a6b-abac-55216d046aed",,"SSA:  Condón masculino de hule látex. envase con 100 piezas. - envase con 100 piezas","CIEL:190",
"fd4f024d-31f8-4412-858d-bd5f7a3a8b79",,"SSA:  Sucedáneo de leche humana de término de kcal 509-528/100g, lípidos 25.80-28.90/100g, proteínas 9.50-12.0/100g, hidrato de carbono 55.20-57.90/100g, polvo, envas","CIEL:5254",
"e089e490-eea8-4bd9-b39c-84d6ba27b6ba",,"SSA:  Amlodipino tabletas o capsulas 5 mg. - envase con 10 ó 30 capsulas o tabletas","CIEL:71138",
"5ac4788f-4a4a-41ca-a617-34f987af9c97",,"SSA:  Amlodipino, besilato de de 5 mg, tableta o cápsula, envase con 10 tabletas o cápsulas. - 10 tabletas o cápsulas.","CIEL:71138",
"ace24552-6973-42d2-a158-8c314ca215ac",,"SSA:  Benzoilo, peróxido de de 5 g / 100 ml, loción dérmica, envase con 30 ml. - envase con 30 ml","CIEL:72063",
"e7067162-21b1-4b4f-8ef7-bd7aa4ad489f",,"SSA:  Benzoilo, peróxido de de 5 g / 100 ml, loción dérmica, envase con 50 ml. - envase con 50 ml","CIEL:72063",
